_id,keyword,marketplace,numberofresults,asin,sponsoredbrand,sponsoredproduct,itemurl,position,title,numberofcomments,ispantry,isprime,isnumberoneseller,isfirstchoice,iscouponavailable,price,currency,crawlertime,brand,campagne,category,subcategory,custom,searchvolume,cornerbrand,crawlertitle,crawler_id,score,seller,sellerunited,sellerofficial,star,sellertechnicalbrand,iscornerbrandproduct,dgm_userteam
oBJW5L,playstation,amazon.fr,60000,B00I3P3AL0,false,false,https://www.amazon.fr/PlayStat...,3,"Sony PlayStation Plu...",7 890,false,false,true,false,false,"44,99",€,2021-06-01 13:04:20.156 UTC,false,ps5,hardware,generique,,3000.0,PS5,PS5,RTRhRXC7r,468.3,Sony,Sony,Vendu par Amazon,4.8,,false,RLWS2weMXWn
6MwcoK,ps5 pas cher,amazon.fr,1000,B00I3P3DXK,false,false,https://www.amazon.fr/...,6,"Sony PlayStation St...",9 445,false,false,false,false,false,"20,00",€,2021-06-01 13:04:20.156 UTC,false,ps5,hardware,prix,,10.0,PS5,PS5,RTRhRXC7r,0.8,Sony,Sony,Vendu par Amazon,4.5,,false,RLWS2weMXWn
C6d58G,playstation,amazon.fr,60000,B00OQSZG6U,false,false,https://www.amazon.fr/...,1,"Sony PlayStation St...",9 445,false,false,false,false,false,"50,00",€,2021-06-01 13:04:20.156 UTC,false,ps5,hardware,generique,,3000.0,PS5,PS5,RTRhRXC7r,1009.5,Sony,Sony,Vendu par Amazon,4.5,,false,RLWS2weMXWn
